Ответ из БЗ,Вопрос из БЗ,Классификатор 1 уровня,Классификатор 2 уровня,concat
"Авторизуйтесь на RUTUBE, перейдите в раздел Видео в Студии: https://studio.rutube.ru/videos. Над видео, которое вы хотите удалить, нажмите на символ многоточия и перейдите в режим редактирования видео. Внизу страницы в правом нижнем углу будет кнопка «Удалить».

Обратите внимание: вы не сможете восстановить видео после удаления. ",Как удалить мой видеоролик?,УПРАВЛЕНИЕ АККАУНТОМ,Удаление аккаунта,"Категория вопроса: Удаление аккаунта
Вопрос: Как удалить мой видеоролик?
Ответ: Авторизуйтесь на RUTUBE, перейдите в раздел Видео в Студии: https://studio.rutube.ru/videos. Над видео, которое вы хотите удалить, нажмите на символ многоточия и перейдите в режим редактирования видео. Внизу страницы в правом нижнем углу будет кнопка «Удалить».

Обратите внимание: вы не сможете восстановить видео после удаления. "
"Авторизуйтесь на RUTUBE, перейдите в свой профиль: https://rutube.ru/profile, нажмите «Изменить пароль» и следуйте подсказкам.",Как сменить пароль?,УПРАВЛЕНИЕ АККАУНТОМ,Персонализация,"Категория вопроса: Персонализация
Вопрос: Как сменить пароль?
Ответ: Авторизуйтесь на RUTUBE, перейдите в свой профиль: https://rutube.ru/profile, нажмите «Изменить пароль» и следуйте подсказкам."
"Автором RUTUBE может стать любой совершеннолетний пользователь, зарегистрировавшийся по стандартной процедуре. Мы считаем вас автором RUTUBE, если вы начинаете снимать и выкладывать в открытый доступ видеоролики на нашем сайте. Все видео, которые появляются на вашем канале, мы по умолчанию признаем как авторские. Автор имеет право подключиться к партнерской программе RUTUBE.",Кто такой автор/блогер и как им стать?,УПРАВЛЕНИЕ АККАУНТОМ,Регистрация/Авторизация,"Категория вопроса: Регистрация/Авторизация
Вопрос: Кто такой автор/блогер и как им стать?
Ответ: Автором RUTUBE может стать любой совершеннолетний пользователь, зарегистрировавшийся по стандартной процедуре. Мы считаем вас автором RUTUBE, если вы начинаете снимать и выкладывать в открытый доступ видеоролики на нашем сайте. Все видео, которые появляются на вашем канале, мы по умолчанию признаем как авторские. Автор имеет право подключиться к партнерской программе RUTUBE."
"Авторским правом охраняются произведения искусства, литературы и науки — то есть любая музыка, видео и изображения. При этом неважно, насколько они популярны или ценны для общества. У них у всех есть автор или правообладатель. ",Какие материалы защищены авторским правом?,МОДЕРАЦИЯ,Отклонение/блокировка видео,"Категория вопроса: Отклонение/блокировка видео
Вопрос: Какие материалы защищены авторским правом?
Ответ: Авторским правом охраняются произведения искусства, литературы и науки — то есть любая музыка, видео и изображения. При этом неважно, насколько они популярны или ценны для общества. У них у всех есть автор или правообладатель. "
"Актуальный личный e-mail (корпоративный e-mail — для юридических лиц) или номер телефона – эти данные будут использоваться в качестве логина при последующей авторизации, а e-mail понадобится для восстановления пароля.",Что нужно для регистрации на RUTUBE?,УПРАВЛЕНИЕ АККАУНТОМ,Регистрация/Авторизация,"Категория вопроса: Регистрация/Авторизация
Вопрос: Что нужно для регистрации на RUTUBE?
Ответ: Актуальный личный e-mail (корпоративный e-mail — для юридических лиц) или номер телефона – эти данные будут использоваться в качестве логина при последующей авторизации, а e-mail понадобится для восстановления пароля."
"Алгоритм попадания видео в раздел Shorts работает по внутренним процессам платформы. Рекомендуем регулярно публиковать Shorts, чтобы увеличить шансы попадания видео в раздел.",Как видео попадают в раздел Shorts на главной?,СОТРУДНИЧЕСТВО ПРОДВИЖЕНИЕ РЕКЛАМА,Продвижение канала,"Категория вопроса: Продвижение канала
Вопрос: Как видео попадают в раздел Shorts на главной?
Ответ: Алгоритм попадания видео в раздел Shorts работает по внутренним процессам платформы. Рекомендуем регулярно публиковать Shorts, чтобы увеличить шансы попадания видео в раздел."
"Баланс за месяц показов отображается в Студии RUTUBE в следующем месяце. Деньги придут на ваш банковский счёт через месяц после отображения баланса.
Минимальная сумма выплаты — 3000 ₽.

Например, за услуги оказанные в октябре, в ноябре в личном кабинете отобразился баланс заработанного за октябрь. До конца декабря заработанные деньги придут вам на счёт. ",Как мне вывести средства с баланса в личном кабинете?,МОНЕТИЗАЦИЯ,Статистика по монетизации,"Категория вопроса: Статистика по монетизации
Вопрос: Как мне вывести средства с баланса в личном кабинете?
Ответ: Баланс за месяц показов отображается в Студии RUTUBE в следующем месяце. Деньги придут на ваш банковский счёт через месяц после отображения баланса.
Минимальная сумма выплаты — 3000 ₽.

Например, за услуги оказанные в октябре, в ноябре в личном кабинете отобразился баланс заработанного за октябрь. До конца декабря заработанные деньги придут вам на счёт. "
"Без паники, у вас есть план действий:
Проверьте видео на соответствие правилам публикации контента.
Напишите в службу поддержки по адресу help@rutube.ru и узнайте точную причину отклонения.
Исправьте ошибки.
Попробуйте загрузить видео еще раз.","Что делать, если модерация в RUTUBE не пройдена? (Что делать, если мое видео отклонено?)",МОДЕРАЦИЯ,Отклонение/блокировка видео,"Категория вопроса: Отклонение/блокировка видео
Вопрос: Что делать, если модерация в RUTUBE не пройдена? (Что делать, если мое видео отклонено?)
Ответ: Без паники, у вас есть план действий:
Проверьте видео на соответствие правилам публикации контента.
Напишите в службу поддержки по адресу help@rutube.ru и узнайте точную причину отклонения.
Исправьте ошибки.
Попробуйте загрузить видео еще раз."
В один плейлист можно добавить до 5000 видео.,Сколько видео можно добавить в один плейлист?,ВИДЕО,Загрузка видео,"Категория вопроса: Загрузка видео
Вопрос: Сколько видео можно добавить в один плейлист?
Ответ: В один плейлист можно добавить до 5000 видео."
В приложении Студия RUTUBE доступны: 1. Страница управления настройками 2. Загрузка и редактирование видео 3. Создание и редактирование плейлистов 4. Статистика по видео и трансляциям 5. Аналитика канала 6. Страница работы с комментариями 7. Создание и редактирование роликов Shorts 8. Создание и управление трансляцией,Какие функции доступны в приложении Студия RUTUBE?,УПРАВЛЕНИЕ АККАУНТОМ,Персонализация,"Категория вопроса: Персонализация
Вопрос: Какие функции доступны в приложении Студия RUTUBE?
Ответ: В приложении Студия RUTUBE доступны: 1. Страница управления настройками 2. Загрузка и редактирование видео 3. Создание и редактирование плейлистов 4. Статистика по видео и трансляциям 5. Аналитика канала 6. Страница работы с комментариями 7. Создание и редактирование роликов Shorts 8. Создание и управление трансляцией"
"В приложении Студия RUTUBE доступны: 1. Страница управления настройками канала 2. Аналитика канала 3. Загрузка видео 4. Статистика по видео 5. Редактирование видео 6. Просмотр всех видео на канале 7. Обзор показателей канала (статистика по каналу, последнее опубликованное видео с аналитикой по нему и последний опубликованный комментарий под видео на вашем канале)",Какие функции доступны в приложении Студия RUTUBE?,УПРАВЛЕНИЕ АККАУНТОМ,Персонализация,"Категория вопроса: Персонализация
Вопрос: Какие функции доступны в приложении Студия RUTUBE?
Ответ: В приложении Студия RUTUBE доступны: 1. Страница управления настройками канала 2. Аналитика канала 3. Загрузка видео 4. Статистика по видео 5. Редактирование видео 6. Просмотр всех видео на канале 7. Обзор показателей канала (статистика по каналу, последнее опубликованное видео с аналитикой по нему и последний опубликованный комментарий под видео на вашем канале)"
"В прямом эфире рекламы нет. Однако реклама появится в записи трансляции так же, как и в других видео.",Есть ли реклама во время трансляции?,ТРАНСЛЯЦИЯ,Просмотр трансляции,"Категория вопроса: Просмотр трансляции
Вопрос: Есть ли реклама во время трансляции?
Ответ: В прямом эфире рекламы нет. Однако реклама появится в записи трансляции так же, как и в других видео."
В этом случае напишите нашей команде поддержки на почту help@rutube.ru.,"Я подтвердил свою регистрацию, но письмо с подтверждением на мой e-mail не пришло",УПРАВЛЕНИЕ АККАУНТОМ,Регистрация/Авторизация,"Категория вопроса: Регистрация/Авторизация
Вопрос: Я подтвердил свою регистрацию, но письмо с подтверждением на мой e-mail не пришло
Ответ: В этом случае напишите нашей команде поддержки на почту help@rutube.ru."
"Вам потребуются данные этого пользователя (номер телефона или электронная почта), посмотреть эту информацию он может в профиле RUTUBE: https://rutube.ru/profile/","Какие данные пользователя потребуются, чтобы предоставить доступ к студии моего канала?",УПРАВЛЕНИЕ АККАУНТОМ,Персонализация,"Категория вопроса: Персонализация
Вопрос: Какие данные пользователя потребуются, чтобы предоставить доступ к студии моего канала?
Ответ: Вам потребуются данные этого пользователя (номер телефона или электронная почта), посмотреть эту информацию он может в профиле RUTUBE: https://rutube.ru/profile/"
"Введите ваш номер телефона в соответствующее поле на первой странице раздела запуска трансляции: https://rutube.ru/create-stream/. В ответ на ваш запрос на указанный номер поступит звонок. Запомните последние 4 цифры номера телефона, с которого поступил звонок, и сбросьте его. Эти цифры необходимо будет ввести в соответствующее поле.",Как проходит подтверждение номера телефона?,ТРАНСЛЯЦИЯ,Управление трансляцией,"Категория вопроса: Управление трансляцией
Вопрос: Как проходит подтверждение номера телефона?
Ответ: Введите ваш номер телефона в соответствующее поле на первой странице раздела запуска трансляции: https://rutube.ru/create-stream/. В ответ на ваш запрос на указанный номер поступит звонок. Запомните последние 4 цифры номера телефона, с которого поступил звонок, и сбросьте его. Эти цифры необходимо будет ввести в соответствующее поле."
"Верификацию может получить любой пользователь RUTUBE, находящийся в любой стране мира, при выполнении всех необходимых условий и правильном заполнении документов.",Какие пользователи могут подать на верификацию канала?,УПРАВЛЕНИЕ АККАУНТОМ,Верификация,"Категория вопроса: Верификация
Вопрос: Какие пользователи могут подать на верификацию канала?
Ответ: Верификацию может получить любой пользователь RUTUBE, находящийся в любой стране мира, при выполнении всех необходимых условий и правильном заполнении документов."
"Верификация открывает возможность быстрой публикации контента сразу после загрузки, минуя штатную модерацию (кроме видео категории ""Детям""), а также возможность постмодерации контента после его фактической публикации. Ваша страница на платформе RUTUBE приобретает уникальный знак подлинности, который подтверждает, что вы являетесь правообладателем или оригинальным создателем контента. Это помогает избежать махинаций с вашим именем и брендом, пресекать мошенничество и неправомерное распространение материалов. Также верифицированные пользователи могут создать короткий URL адрес для своего канала. Служба модерации RUTUBE оказывает полное содействие в удалении материалов, которые распространяются не от имени оригинального представителя.",Для чего нужна верификация и что она дает пользователю?,УПРАВЛЕНИЕ АККАУНТОМ,Верификация,"Категория вопроса: Верификация
Вопрос: Для чего нужна верификация и что она дает пользователю?
Ответ: Верификация открывает возможность быстрой публикации контента сразу после загрузки, минуя штатную модерацию (кроме видео категории ""Детям""), а также возможность постмодерации контента после его фактической публикации. Ваша страница на платформе RUTUBE приобретает уникальный знак подлинности, который подтверждает, что вы являетесь правообладателем или оригинальным создателем контента. Это помогает избежать махинаций с вашим именем и брендом, пресекать мошенничество и неправомерное распространение материалов. Также верифицированные пользователи могут создать короткий URL адрес для своего канала. Служба модерации RUTUBE оказывает полное содействие в удалении материалов, которые распространяются не от имени оригинального представителя."
"Вероятно, вы нарушили один из пунктов пользовательского соглашения, которое обязались соблюдать при регистрации. Для уточнения причины блокировки напишите, пожалуйста, команде поддержки на help@rutube.ru.","Я не могу войти на сайт, мой аккаунт заблокирован",МОДЕРАЦИЯ,Блокировка канала,"Категория вопроса: Блокировка канала
Вопрос: Я не могу войти на сайт, мой аккаунт заблокирован
Ответ: Вероятно, вы нарушили один из пунктов пользовательского соглашения, которое обязались соблюдать при регистрации. Для уточнения причины блокировки напишите, пожалуйста, команде поддержки на help@rutube.ru."
"Во время прямого эфира вам необходимо соблюдать условия Пользовательского соглашения: https://rutube.ru/info/agreement/, которое вы принимаете при регистрации на RUTUBE, и всех обозначенных в нем пунктов, регламентирующих содержание авторских видеороликов на сайте. Наши модераторы просматривают все трансляции в режиме реального времени и могут заблокировать эфир за допущенные нарушения.",Что я могу и что не могу делать во время стрима?,МОДЕРАЦИЯ,Отклонение/блокировка видео,"Категория вопроса: Отклонение/блокировка видео
Вопрос: Что я могу и что не могу делать во время стрима?
Ответ: Во время прямого эфира вам необходимо соблюдать условия Пользовательского соглашения: https://rutube.ru/info/agreement/, которое вы принимаете при регистрации на RUTUBE, и всех обозначенных в нем пунктов, регламентирующих содержание авторских видеороликов на сайте. Наши модераторы просматривают все трансляции в режиме реального времени и могут заблокировать эфир за допущенные нарушения."
"Во время прямого эфира доступен онлайн-чат, с помощью которого автор трансляции может общаться со зрителями. При этом у автора есть возможность модерировать чат: наведите курсор мыши на сообщение, которое хотите модерировать, нажмите на многоточие (три точки) рядом с сообщением и выберете одно из трех действий: «‎Удалить сообщение», «‎Скрыть сообщение от других», «‎Заблокировать пользователя».",Что такое онлайн-чат и как им управлять?,ТРАНСЛЯЦИЯ,Чат/Комментарии,"Категория вопроса: Чат/Комментарии
Вопрос: Что такое онлайн-чат и как им управлять?
Ответ: Во время прямого эфира доступен онлайн-чат, с помощью которого автор трансляции может общаться со зрителями. При этом у автора есть возможность модерировать чат: наведите курсор мыши на сообщение, которое хотите модерировать, нажмите на многоточие (три точки) рядом с сообщением и выберете одно из трех действий: «‎Удалить сообщение», «‎Скрыть сообщение от других», «‎Заблокировать пользователя»."
"Возрастное ограничение 18+ на странице видео и в предупреждении в плеере означает, что ваше видео не стоит смотреть детям. Возрастное ограничение определяют модераторы RUTUBE. Метку 18+ могут поставить, например, на ролики с матом, со сценами насилия или эротики.

Если вы считаете, что на ваше видео несправедливо поставили возрастное ограничение, напишите в поддержку на help@rutube.ru. Мы всё проверим ещё раз.",На моем видео стоит значок «18+». Что это значит и как это убрать?,МОДЕРАЦИЯ,Смена категории/возрастные ограничения,"Категория вопроса: Смена категории/возрастные ограничения
Вопрос: На моем видео стоит значок «18+». Что это значит и как это убрать?
Ответ: Возрастное ограничение 18+ на странице видео и в предупреждении в плеере означает, что ваше видео не стоит смотреть детям. Возрастное ограничение определяют модераторы RUTUBE. Метку 18+ могут поставить, например, на ролики с матом, со сценами насилия или эротики.

Если вы считаете, что на ваше видео несправедливо поставили возрастное ограничение, напишите в поддержку на help@rutube.ru. Мы всё проверим ещё раз."
"Возрастное ограничение «18+» требуется для контента с драками, нецензурной лексикой, откровенным контентом, спариванием животных, операциями, охотой, информацией о табаке и алкоголе, самогоноварением, обзорами энергетических напитков, оправдывающими противоправное поведение, новостями трагических событий, и т.д.",Для каких трансляций необходима маркировка 18+?,МОДЕРАЦИЯ,Смена категории/возрастные ограничения,"Категория вопроса: Смена категории/возрастные ограничения
Вопрос: Для каких трансляций необходима маркировка 18+?
Ответ: Возрастное ограничение «18+» требуется для контента с драками, нецензурной лексикой, откровенным контентом, спариванием животных, операциями, охотой, информацией о табаке и алкоголе, самогоноварением, обзорами энергетических напитков, оправдывающими противоправное поведение, новостями трагических событий, и т.д."
"Войдите в профиль на RUTUBE, перейдите в раздел «Видео» в Студии RUTUBE https://studio.rutube.ru/videos. Нажмите на видео, которое хотите удалить. В правом нижнем углу страницы будет кнопка «Удалить».

После удаления восстановить видео уже не получится.",Как удалить видео?,ВИДЕО,Загрузка видео,"Категория вопроса: Загрузка видео
Вопрос: Как удалить видео?
Ответ: Войдите в профиль на RUTUBE, перейдите в раздел «Видео» в Студии RUTUBE https://studio.rutube.ru/videos. Нажмите на видео, которое хотите удалить. В правом нижнем углу страницы будет кнопка «Удалить».

После удаления восстановить видео уже не получится."
Все видео на канале отображаются по дате публикации. Сверху всегда располагаются недавно опубликованные.,В каком порядке публикуются и отображаются видео на канале?,ВИДЕО,Загрузка видео,"Категория вопроса: Загрузка видео
Вопрос: В каком порядке публикуются и отображаются видео на канале?
Ответ: Все видео на канале отображаются по дате публикации. Сверху всегда располагаются недавно опубликованные."
"Все видео, которые вы загружаете на RUTUBE, проходят модерацию — проверку на соответствие пользовательскому соглашению https://rutube.ru/info/agreement. Обычно модерация длится до 24 часов. Как только наши модераторы проверят видео, оно появится на вашем канале.

Подробнее о процессе модерации можно почитать здесь https://rutube.ru/info/moderation","Видео недавно загрузилось, почему оно до сих пор не появилось на RUTUBE?",МОДЕРАЦИЯ,Долгая модерация,"Категория вопроса: Долгая модерация
Вопрос: Видео недавно загрузилось, почему оно до сих пор не появилось на RUTUBE?
Ответ: Все видео, которые вы загружаете на RUTUBE, проходят модерацию — проверку на соответствие пользовательскому соглашению https://rutube.ru/info/agreement. Обычно модерация длится до 24 часов. Как только наши модераторы проверят видео, оно появится на вашем канале.

Подробнее о процессе модерации можно почитать здесь https://rutube.ru/info/moderation"
